Background_Color,Text_Color,Contrast_Ratio
#B92BD3,#1DF21E,1.98
#B0A5E7,#D5EE5A,1.27
#26855A,#18E255,1.52
#6DEC80,#C549D2,1.75
#1B5F44,#FB7B6D,1.77
#08DCD8,#A5A888,1.05
#BC33B6,#88FCDE,2.32
#A57D1A,#50B7E1,1.27
#1C2BC3,#372210,1.27
#B4E6B1,#2F8553,1.84
#DFA005,#7EBB01,1.01
#9EA74A,#E89247,1.0
#8B1DD6,#7C6855,1.52
#268CF6,#5ED0B2,1.4
#5CDBDD,#3556AC,2.09
#8DA1F4,#812C46,2.29
#083076,#1F31C1,1.19
#888136,#EAF426,1.74
#D5F60E,#3CDE87,1.21
#B5602D,#33070D,4.17
#2299CA,#687E4F,1.1
#E25A38,#DFD4BC,1.74
#D3DE95,#17775E,2.07
#B1A67D,#ADC723,1.09
#CCBEB1,#4CF8C0,1.07
#A4A18C,#3403D7,4.17
#17CC7C,#3C9A3F,1.23
#9D2B26,#A4E8ED,2.9
#84D2A4,#0E6E4D,2.03
#1B0FC8,#404A2E,1.89
#243F46,#0CF6AF,2.89
#ECA37B,#86DD75,1.1
#9F47C9,#AE14AC,1.46
#8E59CA,#FC07D0,1.4
#610B37,#2FF7AD,4.69
#724208,#D75853,1.5
#F68322,#93AAE6,1.13
#852D5D,#7E84E1,1.88
#B4A289,#49D12C,1.02
#B4ED5E,#67CEEC,1.14
#5C42E3,#F8EB44,2.49
#1166C7,#B90BC3,1.4
#738C59,#BFB6B1,1.37
#E3B312,#4F358D,2.45
#4E9BB8,#60D20D,1.2
#26CB77,#A4409F,1.66
#7FA94A,#334CDA,1.77
#92092E,#4DACEE,3.16
#B52595,#CD8CB6,1.92
#20D1CF,#F1CD05,1.15
#42D807,#05B0A0,1.2
#B2C59C,#144F44,2.59
#FF8357,#75A3FC,1.03
#A83177,#C0D61B,2.26
#6302E3,#4FD162,3.61
#B249CE,#D826DF,1.15
#C93EE0,#C572D4,1.31
#97CA2D,#9D9EA0,1.13
#DAB2A6,#18B770,1.27
#2E4CBC,#DF8195,1.8
#70C330,#833F9B,1.85
#252D06,#AC3579,1.8
#8CE04F,#A4202B,2.83
#7C0AD8,#D12F1D,1.5
#572A16,#26E0DD,3.13
#2B9161,#BAD696,1.63
#120FF1,#2B46B0,1.89
#2B022E,#C4E908,8.32
#08D3B5,#D89A54,1.02
#44C6F4,#1CAC3A,1.28
#37EC7C,#8A98DB,1.21
#7E2676,#95AF1C,2.28
#8C451E,#E3A15F,1.95
#7F86CF,#4F7B7B,1.19
#5CC4F3,#7ED17E,1.04
#19FF18,#0A6F85,1.95
#CC289B,#F0088D,1.2
#394751,#24386A,1.2
#AA081D,#FB61AA,2.61
#3A9D1D,#EE8E8D,1.26
#12E6B8,#6D9AA6,1.23
#6017E8,#969839,2.37
#79344C,#68708B,1.54
#3BEBA9,#B3788F,1.4
#8B6A7A,#9FF95F,1.82
#3270F9,#B5585E,1.0
#46D4FE,#1C2858,3.68
#E67B79,#A89A1C,1.01
#F8E04B,#413247,3.43
#837C05,#942358,1.71
#BB87CE,#A6E842,1.33
#840946,#00CF96,3.28
#EF84CF,#74B964,1.02
#5A0461,#F9D7B9,5.58
#D8DC13,#096F8A,2.09
#DA0A3E,#61A747,2.23
#71FF22,#D78D66,1.33
#F472C0,#EA7709,1.08
#0C0A74,#9D40D1,3.47
#FEED6B,#36CAD9,1.32
#02492E,#CEC078,2.95
#2AA650,#AFB35E,1.26
#446D48,#CB2AC1,1.1
#92BD1B,#EF6874,1.24
#366EB4,#B6C642,1.71
#3B2FCD,#8F6E96,1.8
